iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2
1.0,1.0,0,1.0,1,1,10.0,7.0,7.14,4.0,1.0,11.0,0,0.14,0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.84,7.49,6.06,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,7.34,3.0,2.0,12.0,0,0.54,0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.38,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.87,7.51,6.06,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,15.05,16.06,18.0,16.19,10.13,17.545699999999997,15.758299999999998,15.813800000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.82,7.07,6.85,6.18
1.0,1.0,0,1.0,1,1,10.0,7.0,8.61,10.0,3.0,13.0,1,0.16,1,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.38,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.08,7.87,7.51,6.06,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,6.23,1.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,15.05,16.06,18.0,16.19,10.13,17.545699999999997,15.758299999999998,15.813800000000006,19.7113,11.974400000000001,15.433400000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.82,7.07,6.85,6.18
1.0,1.0,0,1.0,1,1,10.0,7.0,7.08,5.0,4.0,14.0,1,0.61,0,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.84,7.49,6.06,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,8.05,7.0,5.0,15.0,1,0.21,0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.08,7.84,7.49,6.06,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.433400000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,7.18,6.0,6.0,16.0,0,0.25,0,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.84,7.49,6.06,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,7.24,1.0,7.0,17.0,0,0.34,0,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.84,7.49,6.06,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,7.37,2.0,8.0,18.0,0,0.5,0,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.07,7.84,7.49,6.06,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,1.96,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.417600000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,8.17,8.0,9.0,19.0,1,0.28,0,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.08,7.84,7.49,6.06,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.15,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.433400000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
1.0,1.0,0,1.0,1,1,10.0,7.0,8.43,9.0,10.0,20.0,0,-0.36,0,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,21.0,Law,1.0,Cornell University,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,8.87,14.15,12.91,16.66,12.04,10.61,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,5.5,8.08,7.84,7.49,6.06,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,2.0,4.0,6.0,2.0,1.0,19.44,16.67,13.89,22.22,11.11,16.67,7.42,17.5,16.17,18.0,16.2,10.13,17.545699999999997,15.843399999999999,15.806300000000006,19.7113,11.974400000000001,15.433400000000004,6.0,7.0,8.0,7.0,6.0,6.35,6.84,7.06,6.85,6.06
